identifica,xCentroid,yCentroid
"0344100000011158",132092.103,455890.921
"0344100000013040",132049.244,455793.520
"0344100000012093",131332.957,456482.242
"0344100000010799",132710.919,455804.941
"0344100000010801",132589.944,455275.581
"0344100000010802",132590.814,455283.139
"0344100000013045",132502.846,456203.624
"0344100000014401",132000.063,455843.518
"0344100000014402",132323.194,456381.511
"0344100000011179",132914.721,455840.199
"0344100000010804",131316.047,456398.557
"0344100000011181",132466.305,455303.350
"0344100000012551",131892.845,455950.111
"0344100000012552",131884.956,455949.529
"0344100000012553",132710.936,455743.551
"0344100000010809",132292.217,456405.505
"0344100000010825",131750.216,455821.185
"0344100000012127",131696.112,456223.694
"0344100000012102",132894.549,455739.417
"0344100000012103",132889.716,455739.410
"0344100000010834",131929.285,455854.322
"0344100000011218",132168.891,456190.903
"0344100000014008",132422.184,456236.124
"0344100000012138",131223.359,456301.657
"0344100000014444",132627.610,456152.946
"0344100000013590",132057.396,455999.893
"0344100000013115",132747.348,455729.304
"0344100000012149",132587.321,455370.790
"0344100000011228",131809.154,455914.221
"0344100000014022",132502.311,456067.717
"0344100000014909",132661.354,455887.881
"0344100000012162",132685.004,455679.463
"0344100000014467",131344.131,456488.672
"0344100000015370",132526.733,455635.057
"0344100000015350",131268.390,456608.388
"0344100000013129",131195.601,456283.947
"0344100000013131",132827.672,455284.342
"0344100000013132",132078.093,455875.997
"0344100000013612",131271.637,455877.631
"0344100000013141",132877.995,455811.258
"0344100000013143",132534.916,455528.916
"0344100000012174",132514.893,455776.183
"0344100000012621",131964.033,455803.014
"0344100000014486",131291.388,456797.970
"0344100000014958",132896.268,455860.135
"0344100000011269",131596.623,455878.466
"0344100000011270",131589.836,455877.410
"0344100000014498",131298.453,456623.404
"0344100000011277",131179.626,456490.734
"0344100000012642",132616.477,456164.989
"0344100000014503",131391.069,456362.425
"0344100000011814",131417.320,456351.787
"0344100000014513",132389.438,455626.113
"0344100000014078",131272.233,456842.680
"0344100000011826",132398.003,456474.277
"0344100000011295",132555.190,456107.761
"0344100000011296",132555.452,456113.245
"0344100000014520",131798.030,455846.770
"0344100000015877",132497.061,455843.540
"0344100000011838",131209.901,456146.178
"0344100000013658",131937.163,455466.663
"0344100000011312",132711.325,455234.280
"0344100000011313",132718.825,455232.602
"0344100000014535",132512.417,456071.594
"0344100000014105",131152.105,456303.117
"0344100000015439",132128.951,455877.371
"0344100000011321",132560.004,455690.764
"0344100000014545",132167.466,456219.769
"0344100000014546",132644.697,455911.517
"0344100000014110",132435.034,455720.717
"0344100000011323",132685.003,455684.263
"0344100000014551",132074.735,455441.446
"0344100000012240",132759.493,455793.351
"0344100000013681",132930.456,455731.874
"0344100000015457",132035.598,456117.208
"0344100000015458",132041.240,456117.204
"0344100000014567",131967.573,456046.325
"0344100000015461",131269.403,456041.566
"0344100000015025",132460.696,455793.368
"0344100000015026",132466.857,455796.891
"0344100000013248",132002.980,455794.236
"0344100000013249",132125.519,455873.728
"0344100000014589",131696.794,455820.563
"0344100000014601",131611.742,456000.294
"0344100000016347",132810.015,455637.369
"0344100000016351",132312.336,456110.407
"0344100000016352",132312.969,456116.888
"0344100000015066",132041.228,456140.802
"0344100000016355",132643.152,455600.547
"0344100000014619",132335.965,455706.317
"0344100000014624",132951.403,455456.790
"0344100000013738",131367.938,455842.801
"0344100000015068",132035.695,456168.808
"0344100000014629",132852.816,455907.063
"0344100000015071",131248.435,456793.462
"0344100000015909",131809.744,455787.136
"0344100000015914",131266.942,456219.503
"0344100000012769",132502.838,455558.108
"0344100000015932",132521.102,456101.463
"0344100000015933",132521.053,456095.500
"0344100000013322",132103.602,456015.730
"0344100000012322",132266.445,456258.579
"0344100000014661",132743.293,455793.356
"0344100000014210",132407.460,455799.104
"0344100000015566",131313.731,456166.082
"0344100000014665",132482.151,456168.185
"0344100000015115",131965.020,455833.751
"0344100000015562",132437.902,455815.173
"0344100000015563",131311.838,455914.054
"0344100000015118",132760.414,455560.530
"0344100000015965",131643.478,455876.930
"0344100000015966",131638.095,455876.073
"0344100000016843",132644.560,455879.873
"0344100000016849",132560.032,455740.374
"0344100000013791",132139.931,456067.367
"0344100000014679",132482.334,455776.673
"0344100000016850",132560.035,455735.430
"0344100000014695",131350.544,456558.067
"0344100000014696",131617.537,455790.264
"0344100000017356",132710.920,455819.341
"0344100000036348",132833.940,455404.924
"0344100000014252",131253.253,455848.548
"0344100000015601",132759.533,455931.428
"0344100000014263",132589.921,455393.571
"0344100000016451",132227.676,456343.065
"0344100000014283",131347.300,456337.135
"0344100000016018",131620.472,456332.924
"0344100000016892",132490.011,456085.776
"0344100000016893",132490.138,456091.450
"0344100000016466",132133.064,456187.291
"0344100000016467",132134.332,456194.143
"0344100000016898",132158.242,455908.554
"0344100000014732",131225.225,456643.045
"0344100000016900",131808.223,455821.150
"0344100000016903",131651.507,455787.146
"0344100000016904",131656.989,455787.205
"0344100000014295",132623.723,455766.798
"0344100000017875",132501.338,455599.323
"0344100000016027",132710.924,455674.741
"0344100000016910",131359.998,455874.213
"0344100000018342",131753.103,455949.458
"0344100000017877",131356.417,456300.888
"0344100000014304",131968.589,455528.978
"0344100000016915",132938.739,455413.771
"0344100000015644",132612.499,455560.244
"0344100000014753",132307.732,456459.789
"0344100000017893",132790.928,455529.959
"0344100000017894",132784.918,455529.725
"0344100000017902",131416.078,455828.699
"0344100000017903",131415.904,455834.302
"0344100000015224",131770.691,455819.569
"0344100000014775",131278.523,456188.333
"0344100000014776",131283.694,456189.260
"0344100000016516",131309.881,456319.551
"0344100000015675",132656.014,455368.157
"0344100000015676",132661.386,455368.072
